,Attacking_Touches_coef,Attacking_Touches_abs_coef,Attacking_Touches_intercept
Finishing_x,4.267968189228908,4.267968189228908,71.78987079637426
Free_Kick_Taking_x,-2.7553012716513594,2.7553012716513594,71.78987079637426
Tackling_x,-0.20020883828745545,0.20020883828745545,71.78987079637426
Flair_x,3.1463668008144055,3.1463668008144055,71.78987079637426
Determination_x,-4.186481531756102,4.186481531756102,71.78987079637426
tpr_x,11.050464786915434,11.050464786915434,71.78987079637426
Positioning_x,-1.2813302029401847,1.2813302029401847,71.78987079637426
Stamina_x,-0.6755249885273836,0.6755249885273836,71.78987079637426
Work_Rate_x,2.0707383129055343,2.0707383129055343,71.78987079637426
Crossing_x,-2.654790967039029,2.654790967039029,71.78987079637426
Anticipation_x,0.9385786842191054,0.9385786842191054,71.78987079637426
Strength_y,2.119105409006692,2.119105409006692,71.78987079637426
Stamina_y,7.070911441654321,7.070911441654321,71.78987079637426
Corners_x,2.067788780505562,2.067788780505562,71.78987079637426
Positioning_y,1.263877176563482,1.263877176563482,71.78987079637426
Work_Rate_y,-1.6865115439749936,1.6865115439749936,71.78987079637426
Heading_y,-1.3974127183036271,1.3974127183036271,71.78987079637426
Crossing_y,-3.566113664643777,3.566113664643777,71.78987079637426
Acceleration_y,-2.1953103615839873,2.1953103615839873,71.78987079637426
tpr_y,-5.4874543809590985,5.4874543809590985,71.78987079637426
Technique_y,-0.24770903991384483,0.24770903991384483,71.78987079637426
First_Touch_y,-0.07385572460985215,0.07385572460985215,71.78987079637426
Composure_y,-2.193273437949258,2.193273437949258,71.78987079637426
