Best_Pos,DM_intercept,DM_slope,AML_intercept,AML_slope,AMC_intercept,AMC_slope,GK_intercept,GK_slope,MC_intercept,MC_slope,DC_intercept,DC_slope,AMR_intercept,AMR_slope,DL_intercept,DL_slope,DR_intercept,DR_slope,ST_intercept,ST_slope,ML_intercept,ML_slope,MR_intercept,MR_slope,WBR_intercept,WBR_slope,WBL_intercept,WBL_slope
MC,2.3081830858854104,0.6264402685846592,4.222797259706647,0.029799459297434692,1.6966809203238338,0.512862320676878,5.716606113964582,-0.2380148367393928,-2.6645352591003757e-15,0.9999999999999999,13.878534513592157,-0.5709972588378232,5.276663340974213,-0.008927239738017984,7.1912760667436135,-0.27128382830159464,3.0614813860173276,-0.039443484707848406,2.161935639886867,-0.004403525716676427,1.3397940580639716,0.2019018713174238,1.7022226148051616,0.20714961127047793,2.890396954457326,-0.02733342697402054,3.2595010302889045,-0.07234322304487673
AML,9.451039679004976,-0.41533225190917666,-1.532107773982716e-14,1.0000000000000002,22.140582416370062,-0.4783708358700484,0.9999999999999989,1.214306433183765e-17,25.669481910661275,-1.0356216214007574,0.9992427306913341,0.0023249257372139473,9.498333598922379,0.31716645079043404,-1.4761657657068694,0.1759261907583181,6.542722383164646,-0.26335810802528403,9.876494278939331,0.13457601771683253,-4.808641042089741,0.8675364367755041,7.793611425504986,0.09767139687585566,5.873273160387182,-0.191865620109586,-3.4714355565180335,0.3250728326911528
ST,7.357577360486648,-0.31661423460794325,4.9463104998677565,0.14510398251646087,7.913118222692406,-0.026159189298291696,4.897910605659886,-0.1946609780202956,9.869743454112673,-0.4120759615250775,8.694789738164522,-0.3849040910925825,2.537820682359158,0.2568712676958203,1.0000000000000007,3.122502256758253e-17,2.1141232478180383,-0.0498632358468242,-2.3453461395206432e-14,1.000000000000002,2.934276646389845,-0.01168759309010424,0.902803491139909,0.09696682860284822,0.9718328484527907,0.012848174389955367,0.9948426342237509,0.0023524826347805896
AMR,12.27937205253614,-0.5691052985707344,2.5073354071812295,0.6541250162176514,7.1206231198838985,0.29277160417464976,2.6337958758386644,-0.08627790567512196,11.485520780217382,-0.27875653609068596,8.618407964702342,-0.39992879319552593,4.218847493575595e-15,0.9999999999999998,6.852015564922398,-0.26322078031795637,5.054716595912447,-0.15451876570849254,5.603166892456607,0.2749035238316502,0.7076568435471854,0.47001016809029994,-3.132928420063824,0.8024886174716155,2.5817545638231207,0.03649650453038212,5.212509064284255,-0.1400088706781844
GK,4.508771929824562,-0.17543859649122803,8.543859649122806,-0.3771929824561402,9.771929824561408,-0.43859649122807004,3.802513859341161e-15,0.9999999999999996,8.631578947368427,-0.38157894736842124,6.964912280701757,-0.2982456140350879,6.96448783248444,-0.29782116581776996,3.8947368421052655,-0.1447368421052632,5.648273910582907,-0.2316072439162423,7.2280701754385985,-0.3114035087719298,6.87719298245614,-0.29385964912280704,6.087294850028297,-0.25396151669496336,3.89388794567063,-0.14388794567062835,2.4035087719298263,-0.07017543859649125
DC,7.606097526535981,-0.07641071363733533,9.75107919038533,-0.4371376643496016,10.796708771901523,-0.48647885391998313,4.325733950320936,-0.16633652181981753,11.723022257545265,-0.45321659250174484,-2.4855117963795692e-14,1.0000000000000009,10.972770110258976,-0.49594143727987583,1.111905991422954,0.18879881067168025,0.626711071484759,0.2584307966643944,2.5586434072561914,-0.0672265008815068,7.818665757591658,-0.3359993706403737,7.116124919817169,-0.2993290865006398,0.8934677715424538,0.07375308123983872,0.9036948654743782,0.06667278544081418
AMC,5.097597597597589,0.013513513513513736,7.6743171743171805,0.13256113256113206,9.769962616701378e-15,0.9999999999999997,9.997354497354491,-0.4523809523809526,2.970613470613471,0.6325611325611324,1.0000000000000004,-3.469446951953614e-17,7.5744315744315935,0.1557271557271546,0.8947518947518949,0.02059202059202056,0.9703989703989706,0.005791505791505766,3.1843986843987047,0.25740025740025635,5.783068783068785,0.07142857142857109,5.762476762476764,0.06821106821106782,0.8914628914628914,0.021235521235521217,0.8914628914628914,0.021235521235521203
DM,8.215650382226158e-15,0.9999999999999993,10.130092591319462,-0.43092775567111535,5.487453284970619,-0.03213884022978736,1.0000000000000002,-3.8163916471489756e-17,2.477006168171361,0.7532648958725771,12.391875503587332,-0.1965262442903856,11.49395420208393,-0.4890207649852467,9.369350540780607,-0.36940279011442617,8.96974763571765,-0.2786979466011811,1.0256131734320393,0.011252856526079243,8.076619523101083,-0.28242139912716135,10.038172263303647,-0.3388231800044552,9.558055884787471,-0.3620823834496113,11.685844005488931,-0.504995311309781
DR,6.48816303375445,-0.1151229517139056,2.2622460779821525,-0.009469572996443576,7.16332831489603,-0.28865833169688637,4.775719491174097,-0.1927167201239336,10.39332547838799,-0.34891449019222764,17.79576051144423,-0.4520891972682247,-3.376393707316014,0.41644520084658865,1.395005563919615,0.38742554166393905,5.995204332975845e-15,0.9999999999999993,0.701315703344898,0.026510440531517902,-1.3109903776919594,0.23825358381881273,-6.655266086273484,0.8013549780716106,-6.43805502825598,1.1710305251903725,-0.02394667364884362,0.3528157797124216
DL,8.969673923709927,-0.2849732942677299,2.05258435787083,0.22763657774101775,5.910612900060277,-0.22833050621731854,3.5963754503525687,-0.13197958868966686,5.208560554021276,-0.1096757461483461,15.625408296300453,-0.37059986261618005,4.713593287819102,-0.1520053832027251,3.1086244689504383e-15,1.0000000000000002,4.12219800092524,-0.05111939775419505,2.3244956752134365,-0.05554231561829718,0.6545427782372816,0.502390198085038,4.18299735045491,-0.11263370389581251,0.7990200888789208,0.08943967027883312,-3.67578119523923,1.0369674624647782
MR,8.71797631862216,-0.32149264442052333,-8.724434876210964,0.8841047721564399,7.730175816289895,-0.08790814495873611,0.9999999999999993,1.5612511283791264e-17,15.127018299246474,-0.5091496232508061,5.295658414065294,-0.16254036598492957,-3.4585575888051654,0.9454610692500894,14.253677789738074,-0.5055615357014717,24.99210620739146,-0.7197703623968428,-19.01255830642266,1.2791532113383561,-5.885540007176152,0.7700035880875482,5.329070518200751e-15,0.9999999999999998,10.708288482238977,0.18909221385001715,7.835665590240417,-0.1661284535342673
