x_interval,y_interval,count,percentage,Pitch_Number,alpha
"(8.0, 12.0)","(76.0, 80.0)",112,0.27,80,0.3902439024390244
"(8.0, 12.0)","(80.0, 84.0)",92,0.22,81,0.3205574912891986
"(8.0, 12.0)","(84.0, 88.0)",89,0.21,82,0.31010452961672474
"(8.0, 12.0)","(88.0, 92.0)",74,0.18,83,0.2578397212543554
"(8.0, 12.0)","(92.0, 96.0)",65,0.16,84,0.2264808362369338
"(8.0, 12.0)","(96.0, 100.0)",58,0.14,85,0.20209059233449478
"(8.0, 12.0)","(100.0, 104.0)",48,0.12,86,0.1672473867595819
"(8.0, 12.0)","(104.0, 108.0)",60,0.14,87,0.20905923344947736
"(8.0, 12.0)","(108.0, 112.0)",36,0.09,88,0.1254355400696864
"(8.0, 12.0)","(112.0, 116.0)",28,0.07,89,0.0975609756097561
"(8.0, 12.0)","(116.0, 120.0)",24,0.06,90,0.08362369337979095
"(12.0, 16.0)","(0.0, 4.0)",7,0.02,91,0.024390243902439025
"(12.0, 16.0)","(4.0, 8.0)",18,0.04,92,0.0627177700348432
"(12.0, 16.0)","(8.0, 12.0)",27,0.07,93,0.09407665505226481
"(12.0, 16.0)","(12.0, 16.0)",39,0.09,94,0.13588850174216027
"(12.0, 16.0)","(16.0, 20.0)",35,0.08,95,0.12195121951219512
"(12.0, 16.0)","(20.0, 24.0)",52,0.13,96,0.18118466898954705
"(12.0, 16.0)","(24.0, 28.0)",49,0.12,97,0.17073170731707318
"(12.0, 16.0)","(28.0, 32.0)",56,0.14,98,0.1951219512195122
"(12.0, 16.0)","(32.0, 36.0)",64,0.15,99,0.2229965156794425
"(12.0, 16.0)","(36.0, 40.0)",61,0.15,100,0.21254355400696864
"(12.0, 16.0)","(40.0, 44.0)",104,0.25,101,0.3623693379790941
"(12.0, 16.0)","(44.0, 48.0)",67,0.16,102,0.23344947735191637
"(12.0, 16.0)","(48.0, 52.0)",117,0.28,103,0.4076655052264808
"(12.0, 16.0)","(52.0, 56.0)",105,0.25,104,0.36585365853658536
"(12.0, 16.0)","(56.0, 60.0)",102,0.25,105,0.3554006968641115
"(12.0, 16.0)","(60.0, 64.0)",105,0.25,106,0.36585365853658536
"(12.0, 16.0)","(64.0, 68.0)",93,0.22,107,0.3240418118466899
"(12.0, 16.0)","(68.0, 72.0)",125,0.3,108,0.4355400696864111
"(12.0, 16.0)","(72.0, 76.0)",98,0.24,109,0.34146341463414637
"(12.0, 16.0)","(76.0, 80.0)",129,0.31,110,0.44947735191637633
"(12.0, 16.0)","(80.0, 84.0)",73,0.18,111,0.25435540069686413
"(12.0, 16.0)","(84.0, 88.0)",94,0.23,112,0.32752613240418116
"(12.0, 16.0)","(88.0, 92.0)",85,0.2,113,0.2961672473867596
"(12.0, 16.0)","(92.0, 96.0)",62,0.15,114,0.21602787456445993
"(12.0, 16.0)","(96.0, 100.0)",54,0.13,115,0.18815331010452963
"(12.0, 16.0)","(100.0, 104.0)",27,0.07,116,0.09407665505226481
"(12.0, 16.0)","(104.0, 108.0)",41,0.1,117,0.14285714285714285
"(12.0, 16.0)","(108.0, 112.0)",30,0.07,118,0.10452961672473868
"(12.0, 16.0)","(112.0, 116.0)",22,0.05,119,0.07665505226480836
"(12.0, 16.0)","(116.0, 120.0)",18,0.04,120,0.0627177700348432
"(16.0, 20.0)","(0.0, 4.0)",10,0.02,121,0.03484320557491289
"(16.0, 20.0)","(4.0, 8.0)",14,0.03,122,0.04878048780487805
"(16.0, 20.0)","(8.0, 12.0)",30,0.07,123,0.10452961672473868
"(16.0, 20.0)","(12.0, 16.0)",34,0.08,124,0.11846689895470383
"(16.0, 20.0)","(16.0, 20.0)",15,0.04,125,0.05226480836236934
"(16.0, 20.0)","(20.0, 24.0)",59,0.14,126,0.20557491289198607
"(16.0, 20.0)","(24.0, 28.0)",35,0.08,127,0.12195121951219512
"(16.0, 20.0)","(28.0, 32.0)",68,0.16,128,0.23693379790940766
"(16.0, 20.0)","(32.0, 36.0)",88,0.21,129,0.30662020905923343
"(16.0, 20.0)","(36.0, 40.0)",63,0.15,130,0.21951219512195122
"(16.0, 20.0)","(40.0, 44.0)",120,0.29,131,0.4181184668989547
"(16.0, 20.0)","(44.0, 48.0)",64,0.15,132,0.2229965156794425
"(16.0, 20.0)","(48.0, 52.0)",136,0.33,133,0.4738675958188153
"(16.0, 20.0)","(52.0, 56.0)",98,0.24,134,0.34146341463414637
"(16.0, 20.0)","(56.0, 60.0)",110,0.27,135,0.3832752613240418
"(16.0, 20.0)","(60.0, 64.0)",133,0.32,136,0.4634146341463415
"(16.0, 20.0)","(64.0, 68.0)",107,0.26,137,0.37282229965156793
"(16.0, 20.0)","(68.0, 72.0)",137,0.33,138,0.47735191637630664
"(16.0, 20.0)","(72.0, 76.0)",86,0.21,139,0.29965156794425085
"(16.0, 20.0)","(76.0, 80.0)",139,0.34,140,0.4843205574912892
"(16.0, 20.0)","(80.0, 84.0)",71,0.17,141,0.24738675958188153
"(16.0, 20.0)","(84.0, 88.0)",92,0.22,142,0.3205574912891986
