Pitch_Number,count,x_interval,y_interval,percentage,alpha
292,35.0,"(60.0, 65.0)","(15.0, 20.0)",0.0008925383791503035,0.09695290858725762
293,73.0,"(60.0, 65.0)","(20.0, 25.0)",0.0018615800479420616,0.20221606648199447
294,92.0,"(60.0, 65.0)","(25.0, 30.0)",0.0023461008823379404,0.2548476454293629
295,97.0,"(60.0, 65.0)","(30.0, 35.0)",0.002473606365073698,0.26869806094182824
296,91.0,"(60.0, 65.0)","(35.0, 40.0)",0.0023205997857907892,0.2520775623268698
297,142.0,"(60.0, 65.0)","(40.0, 45.0)",0.003621155709695517,0.39335180055401664
298,139.0,"(60.0, 65.0)","(45.0, 50.0)",0.0035446524200540624,0.3850415512465374
299,127.0,"(60.0, 65.0)","(50.0, 55.0)",0.003238639261488244,0.3518005540166205
300,155.0,"(60.0, 65.0)","(55.0, 60.0)",0.003952669964808486,0.4293628808864266
301,189.0,"(60.0, 65.0)","(60.0, 65.0)",0.004819707247411638,0.5235457063711911
302,152.0,"(60.0, 65.0)","(65.0, 70.0)",0.003876166675167032,0.42105263157894735
303,157.0,"(60.0, 65.0)","(70.0, 75.0)",0.00400367215790279,0.43490304709141275
304,171.0,"(60.0, 65.0)","(75.0, 80.0)",0.004360687509562911,0.47368421052631576
305,146.0,"(60.0, 65.0)","(80.0, 85.0)",0.0037231600958841232,0.40443213296398894
306,137.0,"(60.0, 65.0)","(85.0, 90.0)",0.003493650226959759,0.37950138504155123
307,149.0,"(60.0, 65.0)","(90.0, 95.0)",0.0037996633855255776,0.41274238227146814
308,97.0,"(60.0, 65.0)","(95.0, 100.0)",0.002473606365073698,0.26869806094182824
309,40.0,"(60.0, 65.0)","(100.0, 105.0)",0.001020043861886061,0.11080332409972299
310,54.0,"(60.0, 65.0)","(105.0, 110.0)",0.0013770592135461824,0.14958448753462603
311,36.0,"(60.0, 65.0)","(110.0, 115.0)",0.000918039475697455,0.0997229916897507
312,15.0,"(60.0, 65.0)","(115.0, 120.0)",0.0003825164482072729,0.04155124653739612
313,17.0,"(65.0, 70.0)","(0.0, 5.0)",0.00043351864130157595,0.04709141274238227
314,24.0,"(65.0, 70.0)","(5.0, 10.0)",0.0006120263171316367,0.0664819944598338
315,39.0,"(65.0, 70.0)","(10.0, 15.0)",0.0009945427653389096,0.10803324099722991
316,46.0,"(65.0, 70.0)","(15.0, 20.0)",0.0011730504411689702,0.12742382271468145
317,50.0,"(65.0, 70.0)","(20.0, 25.0)",0.0012750548273575764,0.13850415512465375
318,66.0,"(65.0, 70.0)","(25.0, 30.0)",0.0016830723721120008,0.18282548476454294
319,76.0,"(65.0, 70.0)","(30.0, 35.0)",0.001938083337583516,0.21052631578947367
320,100.0,"(65.0, 70.0)","(35.0, 40.0)",0.002550109654715153,0.2770083102493075
321,119.0,"(65.0, 70.0)","(40.0, 45.0)",0.0030346304891110316,0.3296398891966759
322,132.0,"(65.0, 70.0)","(45.0, 50.0)",0.0033661447442240016,0.3656509695290859
323,117.0,"(65.0, 70.0)","(50.0, 55.0)",0.002983628296016729,0.32409972299168976
324,170.0,"(65.0, 70.0)","(55.0, 60.0)",0.00433518641301576,0.4709141274238227
325,201.0,"(65.0, 70.0)","(60.0, 65.0)",0.005125720405977457,0.556786703601108
326,158.0,"(65.0, 70.0)","(65.0, 70.0)",0.004029173254449942,0.4376731301939058
327,136.0,"(65.0, 70.0)","(70.0, 75.0)",0.0034681491304126076,0.3767313019390582
328,205.0,"(65.0, 70.0)","(75.0, 80.0)",0.005227724792166063,0.5678670360110804
329,130.0,"(65.0, 70.0)","(80.0, 85.0)",0.0033151425511296984,0.3601108033240997
330,123.0,"(65.0, 70.0)","(85.0, 90.0)",0.003136634875299638,0.3407202216066482
331,125.0,"(65.0, 70.0)","(90.0, 95.0)",0.003187637068393941,0.3462603878116344
332,95.0,"(65.0, 70.0)","(95.0, 100.0)",0.002422604171979395,0.2631578947368421
333,75.0,"(65.0, 70.0)","(100.0, 105.0)",0.0019125822410363646,0.2077562326869806
334,69.0,"(65.0, 70.0)","(105.0, 110.0)",0.0017595756617534554,0.19113573407202217
335,38.0,"(65.0, 70.0)","(110.0, 115.0)",0.000969041668791758,0.10526315789473684
336,28.0,"(65.0, 70.0)","(115.0, 120.0)",0.0007140307033202428,0.07756232686980609
337,12.0,"(70.0, 75.0)","(0.0, 5.0)",0.00030601315856581835,0.0332409972299169
338,28.0,"(70.0, 75.0)","(5.0, 10.0)",0.0007140307033202428,0.07756232686980609
339,42.0,"(70.0, 75.0)","(10.0, 15.0)",0.0010710460549803642,0.11634349030470914
340,48.0,"(70.0, 75.0)","(15.0, 20.0)",0.0012240526342632734,0.1329639889196676
341,54.0,"(70.0, 75.0)","(20.0, 25.0)",0.0013770592135461824,0.14958448753462603
342,69.0,"(70.0, 75.0)","(25.0, 30.0)",0.0017595756617534554,0.19113573407202217
343,93.0,"(70.0, 75.0)","(30.0, 35.0)",0.002371601978885092,0.25761772853185594
344,105.0,"(70.0, 75.0)","(35.0, 40.0)",0.0026776151374509104,0.29085872576177285
345,126.0,"(70.0, 75.0)","(40.0, 45.0)",0.0032131381649410924,0.3490304709141274
346,129.0,"(70.0, 75.0)","(45.0, 50.0)",0.0032896414545825472,0.3573407202216066
347,98.0,"(70.0, 75.0)","(50.0, 55.0)",0.0024991074616208496,0.27146814404432135
348,135.0,"(70.0, 75.0)","(55.0, 60.0)",0.0034426480338654564,0.3739612188365651
349,182.0,"(70.0, 75.0)","(60.0, 65.0)",0.0046411995715815784,0.5041551246537396
350,141.0,"(70.0, 75.0)","(65.0, 70.0)",0.003595654613148365,0.39058171745152354
351,177.0,"(70.0, 75.0)","(70.0, 75.0)",0.00451369408884582,0.4903047091412742
352,192.0,"(70.0, 75.0)","(75.0, 80.0)",0.004896210537053094,0.5318559556786704
353,168.0,"(70.0, 75.0)","(80.0, 85.0)",0.004284184219921457,0.46537396121883656
354,106.0,"(70.0, 75.0)","(85.0, 90.0)",0.002703116233998062,0.29362880886426596
355,122.0,"(70.0, 75.0)","(90.0, 95.0)",0.0031111337787524864,0.3379501385041551
356,126.0,"(70.0, 75.0)","(95.0, 100.0)",0.0032131381649410924,0.3490304709141274
357,78.0,"(70.0, 75.0)","(100.0, 105.0)",0.001989085530677819,0.21606648199445982
358,66.0,"(70.0, 75.0)","(105.0, 110.0)",0.0016830723721120008,0.18282548476454294
359,40.0,"(70.0, 75.0)","(110.0, 115.0)",0.001020043861886061,0.11080332409972299
360,25.0,"(70.0, 75.0)","(115.0, 120.0)",0.0006375274136787882,0.06925207756232687
361,10.0,"(75.0, 80.0)","(0.0, 5.0)",0.00025501096547151525,0.027700831024930747
362,22.0,"(75.0, 80.0)","(5.0, 10.0)",0.0005610241240373336,0.060941828254847646
363,40.0,"(75.0, 80.0)","(10.0, 15.0)",0.001020043861886061,0.11080332409972299
364,41.0,"(75.0, 80.0)","(15.0, 20.0)",0.0010455449584332126,0.11357340720221606
365,59.0,"(75.0, 80.0)","(20.0, 25.0)",0.0015045646962819402,0.1634349030470914
366,82.0,"(75.0, 80.0)","(25.0, 30.0)",0.002091089916866425,0.22714681440443213
367,78.0,"(75.0, 80.0)","(30.0, 35.0)",0.001989085530677819,0.21606648199445982
368,77.0,"(75.0, 80.0)","(35.0, 40.0)",0.0019635844341306676,0.21329639889196675
369,120.0,"(75.0, 80.0)","(40.0, 45.0)",0.003060131585658183,0.33240997229916897
370,113.0,"(75.0, 80.0)","(45.0, 50.0)",0.002881623909828123,0.31301939058171746
371,95.0,"(75.0, 80.0)","(50.0, 55.0)",0.002422604171979395,0.2631578947368421
372,125.0,"(75.0, 80.0)","(55.0, 60.0)",0.003187637068393941,0.3462603878116344
373,132.0,"(75.0, 80.0)","(60.0, 65.0)",0.0033661447442240016,0.3656509695290859
374,126.0,"(75.0, 80.0)","(65.0, 70.0)",0.0032131381649410924,0.3490304709141274
375,135.0,"(75.0, 80.0)","(70.0, 75.0)",0.0034426480338654564,0.3739612188365651
376,157.0,"(75.0, 80.0)","(75.0, 80.0)",0.00400367215790279,0.43490304709141275
377,118.0,"(75.0, 80.0)","(80.0, 85.0)",0.0030091293925638804,0.3268698060941828
378,112.0,"(75.0, 80.0)","(85.0, 90.0)",0.002856122813280971,0.31024930747922436
379,126.0,"(75.0, 80.0)","(90.0, 95.0)",0.0032131381649410924,0.3490304709141274
380,95.0,"(75.0, 80.0)","(95.0, 100.0)",0.002422604171979395,0.2631578947368421
381,71.0,"(75.0, 80.0)","(100.0, 105.0)",0.0018105778548477584,0.19667590027700832
382,61.0,"(75.0, 80.0)","(105.0, 110.0)",0.0015555668893762432,0.16897506925207756
383,62.0,"(75.0, 80.0)","(110.0, 115.0)",0.0015810679859233948,0.17174515235457063
384,202.0,"(75.0, 80.0)","(115.0, 120.0)",0.005151221502524609,0.5595567867036011
