Pitch_Number,count,x_interval,y_interval,percentage,alpha
59,121.0,"(10.0, 15.0)","(50.0, 55.0)",0.003085632682205335,0.33518005540166207
60,163.0,"(10.0, 15.0)","(55.0, 60.0)",0.004156678737185699,0.4515235457063712
61,157.0,"(10.0, 15.0)","(60.0, 65.0)",0.00400367215790279,0.43490304709141275
62,129.0,"(10.0, 15.0)","(65.0, 70.0)",0.0032896414545825472,0.3573407202216066
63,158.0,"(10.0, 15.0)","(70.0, 75.0)",0.004029173254449942,0.4376731301939058
64,182.0,"(10.0, 15.0)","(75.0, 80.0)",0.0046411995715815784,0.5041551246537396
65,127.0,"(10.0, 15.0)","(80.0, 85.0)",0.003238639261488244,0.3518005540166205
66,106.0,"(10.0, 15.0)","(85.0, 90.0)",0.002703116233998062,0.29362880886426596
67,115.0,"(10.0, 15.0)","(90.0, 95.0)",0.0029326261029224256,0.3185595567867036
68,72.0,"(10.0, 15.0)","(95.0, 100.0)",0.00183607895139491,0.1994459833795014
69,54.0,"(10.0, 15.0)","(100.0, 105.0)",0.0013770592135461824,0.14958448753462603
70,63.0,"(10.0, 15.0)","(105.0, 110.0)",0.0016065690824705462,0.1745152354570637
71,50.0,"(10.0, 15.0)","(110.0, 115.0)",0.0012750548273575764,0.13850415512465375
72,31.0,"(10.0, 15.0)","(115.0, 120.0)",0.0007905339929616974,0.08587257617728532
73,16.0,"(15.0, 20.0)","(0.0, 5.0)",0.00040801754475442445,0.0443213296398892
74,30.0,"(15.0, 20.0)","(5.0, 10.0)",0.0007650328964145458,0.08310249307479224
75,43.0,"(15.0, 20.0)","(10.0, 15.0)",0.0010965471515275156,0.11911357340720222
76,38.0,"(15.0, 20.0)","(15.0, 20.0)",0.000969041668791758,0.10526315789473684
77,85.0,"(15.0, 20.0)","(20.0, 25.0)",0.00216759320650788,0.23545706371191136
78,86.0,"(15.0, 20.0)","(25.0, 30.0)",0.002193094303055031,0.23822714681440443
79,94.0,"(15.0, 20.0)","(30.0, 35.0)",0.0023971030754322436,0.26038781163434904
80,112.0,"(15.0, 20.0)","(35.0, 40.0)",0.002856122813280971,0.31024930747922436
81,152.0,"(15.0, 20.0)","(40.0, 45.0)",0.003876166675167032,0.42105263157894735
82,163.0,"(15.0, 20.0)","(45.0, 50.0)",0.004156678737185699,0.4515235457063712
83,151.0,"(15.0, 20.0)","(50.0, 55.0)",0.003850665578619881,0.4182825484764543
84,170.0,"(15.0, 20.0)","(55.0, 60.0)",0.00433518641301576,0.4709141274238227
85,212.0,"(15.0, 20.0)","(60.0, 65.0)",0.005406232467996124,0.5872576177285319
86,144.0,"(15.0, 20.0)","(65.0, 70.0)",0.00367215790278982,0.3988919667590028
87,171.0,"(15.0, 20.0)","(70.0, 75.0)",0.004360687509562911,0.47368421052631576
88,186.0,"(15.0, 20.0)","(75.0, 80.0)",0.004743203957770184,0.5152354570637119
89,124.0,"(15.0, 20.0)","(80.0, 85.0)",0.0031621359718467896,0.34349030470914127
90,108.0,"(15.0, 20.0)","(85.0, 90.0)",0.002754118427092365,0.29916897506925205
91,125.0,"(15.0, 20.0)","(90.0, 95.0)",0.003187637068393941,0.3462603878116344
